question,intent
My gums behind the last tooth is swollen and painful. Is it due to food impaction?,symptoms
Is talking to myself in front of the mirror a symptom of schizophrenia?,symptoms
Why do I have a wet feeling inside the anus?,general_info
Is Metmax injection the right one for head spinning?,general_info
Is it likely for HIV symptoms to show up after 5 to 6 weeks of possible exposure?,symptoms
My period has been late by 13 days. What could be the reason?,general_info
Had blisters due to rough masturbation. How would they heal?,general_info
Can I get pregnant with fingering after he touched his penis?,general_info
What is the treatment for inguinal lymphadenopathy?,general_info
Is it normal to have cobblestone appearance at the back of throat after tonsillectomy?,general_info
"Despite negative pregnancy test, I did not get my periods. What to do?",general_info
"After oil massage, my lower back is full of acne. Any suggestions?",general_info
A 10-year-old girl obsess spanking frequently. Is this due to Asperger's syndrome?,general_info
We are trying to get pregnant but we lack high libido. Please help.,general_info
How to diagnose celiac disease from deamidated gliadin IgG level?,general_info
Can sound from a loudspeaker cause any effect on my eardrum?,general_info
I had unprotected sex during my infertile days. Can I be pregnant?,general_info
I am bleeding with clots after using MTP kit. Is this normal?,symptoms
How do I fade the acne marks without laser treatment?,general_info
I am 13 weeks pregnant. Kindly explain about subseptate uterus.,general_info
What causes respiratory problem in a 36-year-old?,general_info
"During orthodontic treatment, when will they remove the blue fillings?",general_info
Current dose of Synthyroid is 150 mg. What is the recommended dose to get normal thyroid level?,medication
Is it too risky for me to marry someone with sickle cell trait if I have beta thalassemia trait?,general_info
I have burning irritation in the middle portion of the penis after masturbation. Please help.,general_info
What is the life expectancy of a sickle cell disease patient?,general_info
What causes pain during dehydration in a sickle cell anemia patient?,symptoms
Are my weakness and confusion due to low sugar or stroke?,general_info
My dad is in coma now. What will be the prognosis?,general_info
Is there any risk in giving DTwP booster dose to a baby diagnosed with seizure?,medication
I am trying to conceive for the past one year with autoimmune hypothyroidism. Please help.,general_info
How to reduce the anger of my son?,general_info
What causes eye swelling in the morning with itching?,general_info
What is the reason for on and off toe swelling in a diabetic?,general_info
I am suffering from chest pain and I heard a sloshing in my chest. Why?,emergency
I am diagnosed with migraine. Kindly provide me second opinion.,general_info
I am 33 weeks pregnant and suffering from dental abscess. Kindly help.,general_info
I have sour burps and motions. Please help.,general_info
When should I dispose the gauze after a tooth have been pulled?,general_info
What causes TMJ disorder after wearing of braces?,general_info
I consume marijuana and I am 22 weeks preganent. How long will it stay in my system?,general_info
Could vomiting cause prominence of the vessels of sclera?,symptoms
I am trying for conceive but I have adenomyosis and ovaries endometrioma. Please advice.,general_info
I had spotting on the next day of my unprotected sex. Is this a sign of pregnancy?,general_info
3-year-old son has diarrhea for a week. Is this something serious?,general_info
Does my skin test indicate tuberculosis?,general_info
How can tight foreskin be managed?,general_info
What can be the reason for my erection problem?,general_info
What are the ways to stop sugar addiction?,general_info
What causes a soft spot in the middle of forehead in a baby?,general_info
Is it possible to have infertility due to low progesterone levels?,general_info
My intraocular pressure is getting high in the last six years. Why?,general_info
What can be done for swollen gums where wisdom tooth is erupting?,general_info
Please comment on the severity of my wife's wrist x-ray.,general_info
Kindly have a look on my chest X-ray and explain.,general_info
"Which one should I opt for a vision problem, a laser treatment or specs?",general_info
What are the tests I have to undergo after having unprotected oral sex?,general_info
Is Bimatoprost safe enough for optical nerve damage?,general_info
"Other than Sutent, which medicine can I opt for papillary renal cell carcinoma?",medication
How to hide the gap that will occur due to the wearing of braces?,general_info
What is the treatment for a 11-year-old patient with combined type 1 and 2 diabetes?,general_info
Is it safe to get a filling fixed while running a low-grade fever from a UTI?,symptoms
What should be done when a 5-year-old has a fever of 102° with TLC 16700?,symptoms
I am suffering from angiomas on the back. Kindly help.,general_info
How to find out if my son is suffering from any communication problem?,general_info
Will taking antibiotics cause diarrhea or loose stools?,medication
I have a strong history of cancer. Should I concern about the sore in my leg?,general_info
Kindly suggest diet for my 18 months old son with beta thalassemia intermedia.,prevention
My problem of bad breath persists even after teeth cleaning. What to do?,general_info
Do I need surgery for removal of gallstone?,general_info
What is the life expectancy in cancer?,general_info
"Is it possible to get extreme nausea, acid reflux, fatigue, and weight loss due to gallstone?",general_info
"I have gas formation, constipation and gallstone. What can be done?",general_info
Is it possible for PCOS patient with regular periods to conceive?,general_info
I have PCOS because of which I am facing difficulty in reducing weight. Please suggest.,general_info
What can I do to straighten my curved lumbar spine and un-cant hips?,general_info
Why do I feel itchy while urinating?,general_info
"I have underdeveloped jaw bones, scoliosis, and swollen face. Please help.",general_info
Can knee arthroscopy cause scoliosis and pain?,symptoms
There is white fungal ring infection on forehead. Kindly suggest the ointment.,general_info
What are the ways to control anxiety while driving?,general_info
Will a 2 year old baby with Duchenne Muscular Dystrophy walk?,general_info
Why do I get frustrated easily?,general_info
There is a reddish-sticky part on my foreskin even after having medications. Why?,general_info
Is it advisable to use Neomycin during first month of pregnancy?,general_info
My Hb is 8 to 9 with normal MCV and spleen enlargement. Please advice.,general_info
Does vaginal itching after sex indicate STD?,general_info
Please recommend some treatment for jock itch.,general_info
"I am having PCOS, and trying to conceive for eight months. What is the treatment?",general_info
"Are tonsil stones, sore throat, and swollen gums symptoms of oral or throat cancer?",symptoms
What are the chances of developing a heart attack in a GAD patient?,emergency
How to get rid of the rashes which exist even after medications?,symptoms
Will sharing water bottle cause transmission of genital herpes?,general_info
What should I do for my dizzy feeling?,general_info
I slept for long hours after taking Zyprexa. Is it normal?,general_info
"I had LASIK done. My vision is all right, but I feel burning sensation in my eyes.",general_info
Please help with my issues of numbness and vitamin deficiency.,general_info
Does ventricular ectopic beats lead to cardiac arrest?,general_info
My throat hurts after I smoked for the first time. Why?,general_info
Got chickenpox during pregnancy. What shall I do now?,general_info
What is the harm of stopping Veltam plus in a person with BPH?,general_info
I feel as if the skin over my belly button is firm. Is it hernia?,general_info
I have a pulsating feeling on the left side of my stomach. Will this go away by itself?,general_info
Why do I feel swollen feet and numbness when they are not so?,general_info
"Though the cholesterol is normal, is it necessary to take Ecosprin AV?",general_info
"If my periods are delayed due to pregnancy, can Medroxyprogesterone cause abortion?",general_info
Is there a solution for heavy snoring?,general_info
Why am I having itching and burning sensation in eyes while using contact lenses?,general_info
I have pain and clicking sound in knee. What does my MRI show?,symptoms
How can wisdom tooth pain be treated?,symptoms
How to cure mouth ulcer?,general_info
Why am I having thick white and greenish vaginal discharge with itching?,general_info
Can falling from a moving escalator cause inner ear disorder?,general_info
How can I manage dry eye?,general_info
Why am I having a yellow thick foul smelling vaginal discharge?,general_info
Am I having recurrent BV because of unprotected sex?,general_info
Is there any way to treat BV while being 34 weeks pregnant?,general_info
What is the skin rash that itch sometimes in a child?,symptoms
Is it possible to treat hydrosalpinx by natural methods?,general_info
I have diarrhea following constipation for a long time. Why?,general_info
I have acne. Can I use Pantoprazole with Cutein?,general_info
Can a rough foreplay be a cause for a bump inside my vagina?,general_info
One liter water bottle has fallen on my 5. 5 months old baby. What should I do?,general_info
I am having some signs on my hand particularly in summer. Why?,general_info
A white patch has been formed at the tip of the penis associated with skin tightness. Why?,general_info
Please advice whether I can continue my same dosage of thyroid tablets after the variation of TSH levels.,medication
What could be the painless lump under my skin on my arm?,symptoms
Please guide how to use snehapana at home.,general_info
Can I use Benzodiazepine for a longer period?,general_info
What could be the cause for heaviness in the head?,general_info
What are the abortion options during 6 weeks of pregnancy?,general_info
"Is the sharp pain that I experienced on my left armpit, a sign of heart attack?",emergency
What is the small fleshy growth in my anus?,general_info
Can long-time earphone usage cause pain in ears?,symptoms
What is the reason for period like cramps 12 days before period?,general_info
What are the possible causes for heart trembling?,general_info
I am getting pain in penis and tingling sensation in testicles. Please help.,symptoms
What is the home remedy for burning sensation of the anus?,general_info
What is the solution for frequent urination after sex?,general_info
I feel numbness in penis. Is it due to nerve impingement?,general_info
My right eye is smaller than my left eye. How to correct it?,general_info
What can the painful inflamed ridges on penis be?,symptoms
Can you suggest any medicine to get proper erection?,medication
Which ayurvedic medicine can give a long time relief from asthma?,medication
I have pink rash on the side of my nose that gets worsened in sunlight. What could it be?,symptoms
Kindly suggest a permanent cure for penile yeast infection.,general_info
Having melasma on face. Can Kojivit Gel be used and how to use it?,general_info
What treatment will help for discolored skin and red circles in inner thigh?,general_info
I am hearing a strange noise only at night. Please help.,general_info
Can I use Kojivit gel to get fair skin?,general_info
There is a thin black line on my finger nail. Is it skin cancer or melanoma?,general_info
What does my blood investigation suggest?,general_info
What is the cause for itching of face and chest after sex?,general_info
I am having mild umbilical hernia after C-section. Is it curable in Ayurveda?,general_info
Increased intraocular pressure in both the eyes. Should I go for Laser Peripheral Iridotomy surgery(LPI)?,general_info
I am getting recurrent left eye pain with worsening eyesight. What is the problem?,symptoms
What is the reason for decrease in the visual field even after having medicines for glaucoma?,medication
My child got hurt while playing. Can we use T-Bact or Neosporin ointment?,general_info
My father has been detected with glaucoma. Do we need to take urgent action?,general_info
Can minimally invasive glaucoma surgery be done in sensitive eyes with glaucoma?,general_info
Are Formonide and Pantacid enough for asthma and GERD?,general_info
I am taking Foracort for asthma. Will it give complete cure?,general_info
Kindly mention about the foods to be avoided in an asthma patient.,prevention
Is it true that baldness is hereditary?,general_info
Can allergic asthma turn into permanent asthma?,general_info
Can pain and popping sound during jaw movements indicate osteoarthritis?,symptoms
I have leg pain which moves around. Is it osteoarthritis?,symptoms
Suffering from osteopenia and osteoarthritis. Taking AcuCal and FreeFlex. Is it safe to take SAM(S Adenosyl Methionine) to enhance mobility?,general_info
Do I have osteoarthritis?,general_info
I am having skin tags in underarms and neck. Please help.,general_info
Why do we have pain after deep tissue massage to tight calf muscle?,symptoms
I am getting scared for everything after my delivery. Kindly advice.,general_info
What are the chances of getting pregnant with precum?,general_info
"Why am I having small, round and itchy growth on shaft?",general_info
How to manage unilateral paralysis of the diaphragm?,general_info
I took Diflucan to treat urinary candidiasis. When will I get cured completely?,general_info
How to bring back the liver function to normal?,general_info
I have chest and arm pain with fever and vomiting. What should I do?,symptoms
I stopped taking Adderall for some days and it is not effective now. Why?,general_info
How can I get rid of major depressive disorder?,general_info
I have pain in right side of the stomach whenever I move or take deep breathe. Please help.,symptoms
What are these white spots on my tongue?,general_info
I am under treatment for diarrhea for past 10 months. Can I include curd and lassi in my food?,general_info
How can I overcome the loneliness when my partner ignores me?,general_info
What can cause heel pain?,symptoms
Can you suggest physiotherapy treatment for plantar fasciitis and knee pain?,symptoms
How to recover from plantar fasciitis and hip pain?,symptoms
Why do I get thigh muscle numbness?,general_info
My brain tests came normal. Do I still need treatment for epilepsy?,general_info
I get abdomen pain while walking and standing for a long time. Please help.,symptoms
How to differentiate between ulcerative colitis and Crohn's disease?,general_info
Is my lower abdominal pain pointing towards Crohn's disease?,symptoms
I am a crohn's disease patient. Can I take ayurvedic medicines?,medication
I need a second opinion regarding my daughter's fever treatment. Please guide me.,symptoms
What could be causing extreme lymph node pain in the neck?,symptoms
I lost my hearing capacity due to meningitis. Should I consult a rheumatologist?,general_info
My brother is in coma with fungal meningitis. Will he recover?,general_info
My mother had TB meningitis and is now suspected to have tubercular spine. Help.,general_info
How to manage nosebleed?,symptoms
What causes nausea and vomiting without any underlying condition?,symptoms
How can I grow a full beard?,general_info
Can skin prick tests predict positive reactions completely?,general_info
How can hair fall be reversed?,general_info
"My T3 and T4 values are normal, but my TSH values is high. Why?",general_info
My cheek feels sore after placing a temporary bridge. Why?,general_info
Does itchy red pink rashes mean candidal balanitis?,symptoms
What can be done to cure candidal balanitis soon?,general_info
I have irritation of foreskin and whitish discharge. Please advise.,general_info
"How can a person with PTSD, depression and anxiety be treated?",general_info
What will be the prognosis of nerve regeneration after a surgery in a 10-year-old?,general_info
Why am I not able to focus both the eyes on a single point?,general_info
How can I overcome my depression and self-harming thoughts?,general_info
I have depression and suicidal thoughts. Please help.,general_info
I have depression and severe insomnia. Please help me.,general_info
"Can depression cause crying without reason, feeling useless and demotivated?",general_info
Why has my 5-year-old been having eczema since she was 3 months old?,general_info
Could you give your opinion about my eczema on the fingertips?,general_info
I have itchy painful eczema in fingers. Please help.,symptoms
Small warts are spreading on my face and neck. Please help.,general_info
Does burning sensation in the scrotum after having oral sex indicate HIV?,general_info
"My penis size is smaller than normal, will it be a problem during sex?",general_info
How to get the phlegm out of the body?,general_info
Every day I sneeze at least 10 to 15 times. Please advice.,general_info
Why am I getting white hair in young age?,general_info
Can you explain the reason behind burning sensation of gums?,general_info
My blood group is positive and my fiance's is negative. What problem do we need to face?,general_info
I had my right ovary and tube removed due to a 4. 5 cm dermoid cyst. Was it the right call?,general_info
How to prevent pregnancy without using a condom?,prevention
I have bad faeces smell coming from my nose when I breathe. What could be the possible causes?,general_info
I have a burning sensation on the tip of my penis when I pee. Is it due to an infection?,general_info
How many times can I masturbate a day?,general_info
"If I stop taking Keppra suddenly, will it cause withdrawal seizure?",general_info
How do I get rid of enlarged circumvallate papillae?,general_info
Why do I have bad smell coming from my nose?,general_info
I had two menstrual cycles in one month. Is it something serious?,general_info
I have a BB sized lump where my preauricular node is. What are the possibilities?,general_info
How long will it take to heal frenulum tear?,general_info
Suddenly my nipples are swollen and boobs are tender. Why?,general_info
Is there any treatment for frequent urination in ayurveda?,general_info
Why is my foreskin not covering my penis properly?,general_info
I am a 25 year old male. My body looks feminine. Please help.,general_info
Is Arjunarishta beneficial for heart patients?,general_info
What can cause waxy buildup on the roots of hair?,general_info
Why do I have dark spots on my fingers and knuckles?,general_info
My left nose makes a weird sound following a hit. Why?,general_info
Does ill fitting dentures lead to peeling of skin inside the mouth?,general_info
Kindly see my results and advice whether I can father a child?,general_info
"What type of cap should I opt for RC treated tooth, single or joined?",general_info
Why could be the reason for breathing difficulty in breathing after mitral valve replacement?,general_info
I have bipolar 2 and panic disorder. Is it normal for me to think that I have psychosis?,general_info
Please advice on my blood reports.,general_info
Kindly suggest treatment for urticaria.,general_info
I get throbbing headache in the morning after long working hours and late night sleep. Please help.,symptoms
"Can LSD, DMT, and Ecstasy trigger the borderline personality in seperation anxiety disorder?",general_info
Will IgG antibodies take care of the secondary infection in a HSV 1 postive patient?,general_info
I have allergy and sinusitis so I cannot eat or drink cold items. Please help.,general_info
My genital redness exists still after medication. Please help.,general_info
My sister has pain in the legs from thigh to knee. Please help.,symptoms
Why does bruise reappears after stopping the vitamin supplements?,general_info
Can Homeopathy help in masturbation problem?,general_info
Will emergency contraceptive pills work when taken during withdrawal bleeding?,emergency
Why does the stomach blossoms without food in the morning?,general_info
My tongue is bleeding while brushing and having white sopts in the uvula. Kindly explain.,symptoms
Does alcohol hinder the work of Abilify?,general_info
Can Seroquel withdrawal cause loss of sensation in penis?,general_info
What should I need to do to get rid of my skin infection on my arm?,general_info
A gurgling occurs while breathing in and out. Why?,general_info
How long should I take Soltus for delusion?,general_info
I have eczema only in my legs. What to do?,general_info
Can missed period mean pregnancy?,general_info
Why do white spots appear on teeth?,general_info
I am finding it difficult to have intercourse. Why?,general_info
Will sleep deprivation cause any permanent changes in brain?,general_info
My child developed phobia for terrorist. How to eliminate this?,general_info
How can I divert my mind when I become sad due to the rude behavior of my loved one?,general_info
Will delaying vaccines for an infant cause any problem?,prevention
I need some medications to relax as I am nervous most of the time. Please help.,general_info
I am suffering from burning sensation and inflammation in anus after intercourse. Will this be HPV?,general_info
18 weeks pregnant woman used spray pesticide. Is it harmful for the baby?,general_info
Does side effect of the anxiety drug diminishes the memory?,medication
My girlfriend takes Microgynon for PMS. Is it normal for her to experinece spotting?,general_info
My husband behaves rudely all the time. Kindly advice.,general_info
I am scared to sleep whenever I hear about some accident. Why?,general_info
I am worried about my reports. Kindly advice.,general_info
What can be done for treating chest acne?,general_info
I am getting some rashes after taking Aripiprazole. Should I worry about this?,symptoms
What has to be done for accidental swallowing of tooth crown?,general_info
I am having small black spots on my toenail. Does it indicate melanoma?,general_info
Is it safe to use Montair LC kid in a 4-year-old for reactive airway disease?,general_info
Kindly advice about the diagnosis of paranoid schizophrenia.,general_info
Do my symptoms indicate bipolar disorder or schizophrenia?,symptoms
What are the ways to control schizophrenia?,general_info
Can herpes cause cold sore on lip?,general_info
Are my symptoms suggestive of schizophrenia or OCD?,symptoms
I have something like genital warts. Please confirm if it is the same.,general_info
My baby has constipation and gas problems due to Dexolac. Should I change the formula milk?,general_info
I always feel like third person is ordering me. Kindly advise.,general_info
Why is my penis not getting hard during sexual intercourse?,general_info
What are the ways to manage the withdrawal symptoms of Benzodiazepine and Alprazolam?,symptoms
I hit my forehead against a wall and got a scar. Can I treat that scar?,general_info
Is it advisable to get operated for gallbladder stone during pregnancy?,general_info
What causes lump at the base of chin?,general_info
I am suffering from abdominal pain with cramps. Why?,symptoms
I am suffering from burning sensation on the feet for three days. Kindly advice.,general_info
My father has inhomogeneous opacity in the lung. How to treat him?,general_info
How can I improve my immunity against pneumonia?,general_info
Is bronchoscopy and tube necessary in a pneumonia patient with COPD?,general_info
Am I suffering from pneumonia?,general_info
Can pneumonia cause prolonged QT waves?,general_info
Please explain the test results of diabetic and renal tubular acidosis patient.,general_info
What is the treatment for fatty liver when my cholesterol and thyroid levels are high?,general_info
What does grade-1 fatty liver mean?,general_info
How can we treat fatty liver?,general_info
How to manage fatty liver?,general_info
Is nonalcoholic fatty liver disease life-threatening?,general_info
I am consuming Codeine. Will this affect conceiving?,general_info
I am underweight and my BMI is 16. 5. How to improve my weight?,general_info
My aunt doubts that all the girls are trying to come closer with her husband. Kindly advice.,general_info
I am suffering from muscle twitching and discomfort even after medications. Please advice.,general_info
Can witnessing a life-threatening trauma in young age cause changes in behavior?,general_info
Kindly explain about the diastolic heart failure.,general_info
My husband gets frequent sharp cramps in right lower abdomen lasting for a minute. What could this be?,general_info
Can starving for longer period make you eat more?,general_info
How can IBS related to SIBO be managed?,general_info
Why do I have bad breath after taking the fever medications. Suggest me a cure.,symptoms
Should I seek medical help for the side effects of probiotics?,general_info
Is there a permanent remedy to get rid of psoriasis?,general_info
I heard one of the reasons for psoriasis is lack of Vitamin D. Is it true?,general_info
"There is a large area of redness in my buttocks,is it psoriasis?",general_info
Kindly comment on my psoriasis prescription.,medication
"Why are SGOT, SGPT, and cholesterol levels high in a diabetic?",general_info
Sore throat did not go away with several antibiotics. How can I get well again?,medication
I get bloody semen with clots and pain in my right testicle. What is my problem?,symptoms
I am getting pimples and dark spots. How to treat it?,general_info
What are the signs of tonsillitis?,general_info
What does positive strep test mean?,general_info
What can be the reason for raised liver enzymes during fever?,symptoms
What is the degree of burns in a baby injured by boiling water?,general_info
Can Renflexis cause ankle swelling?,general_info
I feel stress even for small things which urges me to pass stool frequently. Why?,general_info
I have constant twitches in my upper arm. Could it be an early sign of ALS?,general_info
What are the options to correct dental midline shift?,general_info
I have enlarged bumps on the back of my tongue. Is that due to fungal infection?,general_info
When exactly does the pregnancy symptoms arise after unprotected sex?,symptoms
Having pubic hair with white coating. What is it?,general_info
What does dilated extrarenal pelvis mean?,general_info
Me and my wife are trying to have intercourse but unable to. Any advice?,general_info
What can I do to grow hair in the case of genetic hair loss?,general_info
My ECG report was strange. Is this due to anxiety?,general_info
My right eye is red and puffy after wearing contact lenses under light. Why?,general_info
What can be done for stammer in children?,general_info
What can cause itchy scalp and tiny white balls all over the head?,general_info
Is it compulsory that the foreskin has to retract during sex?,general_info
I have blisters on my penis after masturbating without a lubricant. What is the treatment?,general_info
I have severe stomach and back pain at the same time. Can you Suggest any quick remedy?,symptoms
"Due to excessive masturbation, my penis is shrunk. What to do?",general_info
I have become extremely anxious after electric shock. Why?,general_info
My arm got trapped in a door. What should I do?,general_info
Can I opt biologic Etanercept for ankylosing spondylitis?,general_info
My testicles start hurting after erection without orgasm. Why?,general_info
Kindly suggest the alternative medicine for the hormone blocking injections in the treatment of breast cancer?,medication
Kindly help me to clarify that my period is normal or is it due to the side effect of I-pill.,general_info
What are the ways to close the gap between teeth after removing the bottom milk teeth?,general_info
I feel that there is water in my ear after cold exposure. Please help.,general_info
Can stopping Sizodon LS suddenly cause any problem?,general_info
Does sharp pain in lower left abdomen in pregnant woman mean labor?,symptoms
Are rashes on penis due to sexually transmitted disease?,symptoms
I had spica cast. When can I start driving or riding a motorcycle?,general_info
My CBC showed 1+ anisocytosis. Any suggestions?,general_info
I am experiencing tender muscles all over the body. Why?,general_info
What can I do for weakness of the legs and numbness of the toes?,general_info
"I have pain,extreme fatigue,unsteadiness and muscle twitching. I do not know if all these symptoms are related to one issue or more.",symptoms
Stress causes stiffness in my neck and back. What can be done about it?,general_info
What is the reason for stomach pain and blood in stools?,symptoms
I am currently having obsessive thoughts and find it hard to control them. Please help.,general_info
I vomited two combined pills after 12 and 14 hours respectively. Am I still protected?,symptoms
Are cough and chest congestion the symptoms of pneumonia?,symptoms
I never had an orgasm even after masturbating to porn. Why?,general_info
Why are there abdominal pain with loose motion and fever?,symptoms
Is it mandatory to remove the premolars for my orthodontic treatment?,general_info
Can you please review my blood test reports?,general_info
Can I take Damia drops for premature ejaculation and erectile dysfunction?,general_info
I had vibration in my chest associated with shoulder pain. What does it indicate?,symptoms
"Will Zoloft cause muscle pain, cramps or tingling?",symptoms
"What can be done for bloating in a patient with acidity, GERD and IBS?",general_info
A vein is blocked in heart and there is chest pain while walking far. What has to be done?,emergency
Please suggest a medicine to lower my husband's blood sugar level.,medication
What can be done for severe headache that starts during late morning?,symptoms
The nevus on my lacrimal caruncle shows some difference. Is it melanoma?,general_info
Is it normal to have raised WBC count in teenager?,general_info
Should I continue the Olanzapine as I had a blackout episode when I was drunken?,general_info
What can I do to get rid of tapeworms?,general_info
How to identify if I am bipolar?,general_info
"My blood and urine pregnancy test are positive, but there is no visible sac in the scan. Is this ectopic?",general_info
What does mild LA dilation in sonogrpahy indicate?,general_info
I am a diabetic patient and I suffer from ED and depression. Kindly advice.,general_info
My lipid test report shows quite high values. Kindly advice.,general_info
I have occasional fever with acid feel in chest and stomach pain. What could this be?,symptoms
What would be the reason for development of large number of moles?,general_info
What are the measures to lose weight?,general_info
"I have red, itchy and scaly spots on my arm. Are these signs of skin cancer?",general_info
Why does urine appear dark brown inspite of having Fluconazole?,general_info
My hairs are shedding even after using Minoxidil. Why?,general_info
"After using larger size silicone ring to loose the foreskin, I experience pain. Why?",symptoms
Ears feel clogged while in a closed room. Why?,general_info
I have a red dot on my penis head. Could it be herpes?,general_info
Please explain the diagnosis of MRI result.,general_info
How to wean Veniz XR safely?,general_info
I feel my teeth are slanting at the end of ortho treatment. What shall I do?,general_info
I get sudden shaky abdominal pain with dizziness. Could this be a shock?,symptoms
What could be the white lines near the teeth on the lower lip?,general_info
Why am I having painful wound with itching in penis after sex?,symptoms
How to treat a red dry skin on the scrotum?,general_info
My mother's fasting sugar is higher than the post prandial sugar. Why is this happening?,general_info
"While extraction, I was told that my tooth was attached to bone. Is it common?",symptoms
Need second opinion on Celexa and Buspar for severe anxiety/panic attacks,general_info
I do not feel any sensation in my penis at the time of sex. Does masturbation cause this numbness?,general_info
Why is my fasting blood sugar level higher than postprandial?,general_info
Can you suggest any medicine to reduce the bump near anus?,medication
The stretch marks on my inner thighs hurt. Please help.,general_info
I have tiny hard black spot on penis with no harm and it does not go away. What could it be?,general_info
I am expecting first child and pregnant of around 6 weeks. Noticed some bleeding while urinating,symptoms
Will I lose my virginity if I finger myself?,general_info
Delayed periods even after taking Gestin. What is the reason?,general_info
"I have a painless, small, white dot on my gums. What could it be?",symptoms
What are the chances of me to get pregnant after taking i-pill?,general_info
What is the chance of spread of hepatitis B through food contaminated with blood?,general_info
What would cause a dark horizontal line across nose?,general_info
There is a lump above my left collarbone. Is it cancerous?,general_info
Is it possible to get nerve related problems due to high lipids and blood glucose levels?,general_info
What could be the cause for the burning sensation on my waist?,general_info
Is it possible to treat AVN without hip replacement?,general_info
I am a diabetic with swollen and discolored foot. Why does it happen?,general_info
Prepuce is not getting retracted during erection. What can I do for it?,general_info
I am 18 years old and my gums have receded because of improper brushing. Kindly help.,general_info
I have some weird taste of the water as if my mouth is salty associated with excessive thirst. Kindly help.,general_info
Is stage 2 liver fibrosis a reversible condition?,general_info
I have a male pattern hair loss. Please suggest if Finasteride can help in hair sustenance.,general_info
What is the treatment for numb and painful hands and fingers?,symptoms
Why does weight loss occur in a patient with TB and pneumonia after an extensive phase?,general_info
How can chronic body pain associated with movement be tested?,symptoms
What causes inflammation of urinary tract after protected sex?,general_info
Please provide opinion on my complete blood count report.,general_info
I feel pulsations in my upper stomach from yesterday. Why?,general_info
I used water bottle of a person who was diagnosed with Mono. Am I at risk?,general_info
I am seven weeks pregnant. Can I take both Susten and Duphaston?,general_info
"I have burning feet, warm palms and slightly warm penis after treating STD. What can I do?",general_info
Why is there a dull aching pain above the back of my knee and buttock?,symptoms
I received handjob. Can STD transmit this way?,general_info
What can be done for insomnia?,general_info
Is it normal to have high platelet count in a high blood pressure patient?,general_info
Will taking Effexor increase my anxiety level?,general_info
Why is there pain in opposite tooth after root canal treatment?,symptoms
Does swollen lymphnode everywhere in the body mean cancer?,general_info
Is surgery the only option for nontuberculous mycobacteria infection?,general_info
I am suffering with sudden bouts of loose motion. Please help.,general_info
Is it safe to do extraction without wearing gloves?,general_info
My fiance ejaculated on my hand. Could I be pregnant?,general_info
Is it possible to insert GPRS chip inside ear?,general_info
I used hydrogen peroxide for my clogged ears and now it is stuck. Please advise.,general_info
Is it normal to have foamy urine?,general_info
Is it normal to have palpitations with high blood pressure?,general_info
What does polycythemia (JAK 2 negative) mean?,general_info
